Matricule,Dispo,Presel,Enga,Comp
1264,[],[],[],"['CAFDF', 'CAFEMUL', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CODBRRS', 'CODEI', 'CODPLHR', 'CODVLHR', 'CODVLR', 'CODVSAV', 'COFEMUL', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR']"
1265,[],[],[],"['CAFDF', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CG', 'CODVLHR', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR', 'OFFCRM', 'OFFEVAC', 'OFFGEST', 'OFFPMA', 'OFFRAMA']"
1268,[],[],[],"['CODVLHR', 'CODVLR']"
1278,[],[],[],"['CODVLR', 'PHARM']"
1279,[],[],[],"['CAFDF', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CG', 'CODVLHR', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR', 'OFFCRM', 'OFFEVAC', 'OFFGEST', 'OFFPMA', 'OFFRAMA']"
1288,[],[],[],"['CODVLR', 'MED']"
1291,[],[],[],"['CAFDF', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CC', 'CCFDF', 'CEINC', 'CG', 'CGFDF', 'CODEI', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'OFFACTI', 'OFFCRM', 'OFFEVAC', 'OFFGEST', 'OFFMOY', 'OFFPMA', 'OFFRAMA', 'OFFRENS']"
1302,[],[],[],"['CAFDF', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CEPELI', 'CG', 'CODBRRS', 'CODEI', 'CODPLHR', 'CODVLHR', 'CODVLR', 'CODVSAV', 'CTIMP', 'CUIMP', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQPELI', 'EQVSAV', 'EQVSR', 'OFFCRM', 'OFFEVAC', 'OFFGEST', 'OFFPMA', 'OFFRAMA', 'SAUVIMP']"
1305,[],[],[],"['CAFDF', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CG', 'CODEI', 'CODEMB', 'CODVLHR', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR', 'OFFCRM', 'OFFEVAC', 'OFFGEST', 'OFFMOY', 'OFFPMA', 'OFFRAMA', 'OFFRENS', 'SAV1']"
1310,[],[],[],"['CAFDF', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CODEI', 'CODPLHR', 'CODVLHR', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR']"
